sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.133552074	0.133783000	0.016110897
1	0.128853083	0.129044000	0.015078783
2	0.131227970	0.131439000	0.015168905
3	0.143891096	0.144122000	0.016340017
4	0.130666018	0.130878000	0.015959978
5	0.127921104	0.128132000	0.014827967
6	0.130595922	0.130807000	0.014978886
7	0.130506039	0.130707000	0.014987946
8	0.129534006	0.129745000	0.015539169
9	0.128731966	0.128943000	0.017673016
10	0.127028942	0.127241000	0.015098095
11	0.130486012	0.130707000	0.015448809
12	0.131106138	0.131318000	0.015458822
13	0.136366844	0.136569000	0.016350985
14	0.133430958	0.133642000	0.014979124
15	0.135254145	0.135456000	0.015249014
16	0.139462948	0.139664000	0.015558958
17	0.135435104	0.135646000	0.016079903
18	0.135233879	0.135436000	0.018504143
19	0.134513140	0.134725000	0.015399218
20	0.135123968	0.135336000	0.015328169
21	0.129904032	0.130116000	0.017903090
22	0.131688118	0.131889000	0.018735886
23	0.131166935	0.131368000	0.015028000
24	0.143000126	0.143221000	0.015199184
25	0.134423018	0.134645000	0.015197992
26	0.132679939	0.132891000	0.015728951
27	0.129983902	0.130196000	0.015028000
28	0.133752108	0.133943000	0.015419006
29	0.134083033	0.134294000	0.017702818
30	0.131958008	0.132170000	0.015599012
31	0.131618023	0.131829000	0.015808821
32	0.130084991	0.130297000	0.015228987
33	0.133220911	0.133432000	0.015188932
34	0.133913040	0.134113000	0.015669107
35	0.133089781	0.133302000	0.016290188
36	0.131798029	0.132019000	0.014407158
37	0.130375862	0.130587000	0.015910149
38	0.129874945	0.130086000	0.015899897
39	0.130385876	0.130597000	0.015338898
40	0.131637096	0.131850000	0.016099930
41	0.128431082	0.128644000	0.014556885
42	0.131888866	0.132100000	0.015159130
43	0.132869959	0.133092000	0.015578985
44	0.130966187	0.131178000	0.015699148
45	0.129714012	0.129925000	0.014577866
46	0.131438017	0.131669000	0.015097857
47	0.130815983	0.131018000	0.015098095
48	0.131488085	0.131699000	0.015609980
49	0.129884958	0.130126000	0.015548944
50	0.171842813	0.172065000	0.015137911
51	0.130706072	0.130918000	0.015419960
52	0.131087065	0.131299000	0.015700102
53	0.130516052	0.130737000	0.016241074
54	0.127840996	0.128062000	0.014467955
55	0.130615950	0.130827000	0.014817953
56	0.132440090	0.132661000	0.015048027
57	0.128682852	0.128894000	0.015528917
58	0.126738071	0.126950000	0.014446974
59	0.129713774	0.129925000	0.014898062
60	0.129212856	0.129425000	0.014948130
61	0.130496025	0.130707000	0.015159130
62	0.132439852	0.132641000	0.016510963
63	0.132430077	0.132651000	0.014507055
64	0.130595922	0.130807000	0.014998913
65	0.130735874	0.130947000	0.015530109
66	0.130285025	0.130497000	0.015578985
67	0.128943205	0.129144000	0.014667988
68	0.131097078	0.131289000	0.014666796
69	0.129292965	0.129504000	0.015779972
70	0.185420036	0.180391000	0.026890993
71	0.117501974	0.117703000	0.029886007
