sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.099978924	0.100120000	0.011341095
1	0.096342087	0.096482000	0.010529995
2	0.099067211	0.099207000	0.011020899
3	0.097413063	0.097565000	0.010900021
4	0.096492052	0.096632000	0.011372089
5	0.096971989	0.097123000	0.010720015
6	0.099958181	0.100109000	0.010488987
7	0.100237846	0.100380000	0.011430979
8	0.097784042	0.097946000	0.010940075
9	0.100008965	0.100150000	0.011511087
10	0.103445053	0.103586000	0.011070013
11	0.104988098	0.105139000	0.011342049
12	0.101391077	0.101532000	0.011641979
13	0.104887009	0.105039000	0.011852026
14	0.104175806	0.104307000	0.011300802
15	0.106611013	0.106772000	0.011301041
16	0.105479002	0.105620000	0.017242908
17	0.101450920	0.101602000	0.011651993
18	0.104876995	0.105029000	0.010679960
19	0.106631041	0.106772000	0.011070967
20	0.105798960	0.105950000	0.011361122
21	0.100800037	0.100941000	0.012684107
22	0.098596096	0.098737000	0.011913061
23	0.101049900	0.101192000	0.011060953
24	0.099528074	0.099678000	0.010580063
25	0.102452993	0.102604000	0.010991096
26	0.096010923	0.096171000	0.011021137
27	0.097573042	0.097715000	0.010209084
28	0.098134995	0.098276000	0.010469913
29	0.097634077	0.097775000	0.010710001
30	0.096791983	0.096933000	0.011501074
31	0.096702099	0.096853000	0.011000156
32	0.097152948	0.097304000	0.010539055
33	0.098967075	0.099107000	0.010590076
34	0.113444090	0.113965000	0.010921001
35	0.102051973	0.102213000	0.011261940
36	0.102513075	0.102684000	0.011562109
37	0.097863913	0.098005000	0.010458946
38	0.097063065	0.097203000	0.010619879
39	0.097594023	0.097734000	0.011029959
40	0.095200062	0.095350000	0.010248899
41	0.096802950	0.096943000	0.010349035
42	0.098706007	0.098846000	0.010941029
43	0.099758148	0.099909000	0.010941029
44	0.097854137	0.098005000	0.011502028
45	0.095690012	0.095841000	0.010570049
46	0.099137068	0.099288000	0.010931015
47	0.097934008	0.098076000	0.010779858
48	0.096330881	0.096472000	0.011531115
49	0.094298124	0.094439000	0.010240078
50	0.097051859	0.097204000	0.010438919
51	0.098104954	0.098255000	0.010590076
52	0.100689888	0.100831000	0.011762142
53	0.095700026	0.095851000	0.011491060
54	0.094858170	0.095010000	0.010238886
55	0.098194838	0.098336000	0.010540009
56	0.097914219	0.098066000	0.010679960
57	0.098004103	0.098145000	0.010941029
58	0.094377995	0.094539000	0.010179043
59	0.096881866	0.097033000	0.010380030
60	0.096480846	0.096623000	0.010559797
61	0.098294973	0.098436000	0.010890007
62	0.097142935	0.097294000	0.011762142
63	0.094126940	0.094269000	0.010270119
64	0.097834110	0.097975000	0.010429859
65	0.097223043	0.097364000	0.010749817
66	0.098004818	0.098146000	0.010980844
67	0.095599890	0.095741000	0.010590076
68	0.103754997	0.103897000	0.011210918
69	0.099987984	0.100139000	0.010830879
70	0.100769997	0.100910000	0.011110783
71	0.094867945	0.095010000	0.011009932
72	0.097193003	0.097344000	0.010318995
73	0.098385096	0.098527000	0.010770082
74	0.096482038	0.096633000	0.010750055
75	0.097804070	0.097975000	0.011121035
76	0.094146967	0.094299000	0.010349989
77	0.097602844	0.097745000	0.010569811
78	0.097132921	0.097284000	0.010689974
79	0.097804070	0.097945000	0.010990858
80	0.099066973	0.099227000	0.011242151
81	0.097543001	0.097705000	0.010509968
82	0.109447002	0.109587000	0.010730028
83	0.102483034	0.102624000	0.011401892
84	0.099938154	0.100089000	0.011040926
85	0.095961094	0.096132000	0.012914896
86	0.097783804	0.097935000	0.010560036
87	0.098414898	0.098566000	0.010730982
88	0.097071886	0.097213000	0.014145851
89	0.101951838	0.102093000	0.010349035
90	0.097483873	0.097624000	0.010529995
91	0.099858046	0.099999000	0.010849953
92	0.098726034	0.098867000	0.010809898
93	0.098124981	0.098265000	0.011010885
94	0.095909834	0.096052000	0.011020899
95	0.097584009	0.097714000	0.010660887
96	0.098777056	0.098917000	0.010780096
97	0.098395109	0.098536000	0.010920048
98	0.097614050	0.097765000	0.010198832
99	0.097582817	0.097715000	0.010529995
100	0.099897861	0.100049000	0.010699987
