application	metric	quantile	previous_ms	candidate_ms	previous_over_candidate
image_edges	wallMs	p50Ms	0.6368400000000065	0.5914840000000083	1.0766817022945634
image_edges	wallMs	p95Ms	1.0152209999999968	1.0901029999999992	0.9313074085659774
image_edges	wallMs	p99Ms	1.3735069999999894	1.4232909999999777	0.9650219104877436
image_edges	cpuMs	p50Ms	0.54	0.488	1.1065573770491803
image_edges	cpuMs	p95Ms	0.95	0.952	0.9978991596638656
image_edges	cpuMs	p99Ms	1.888	1.781	1.060078607523863
image_edges	encode	p50Ms	0.08772500000000605	0.03475499999998988	2.524097252194838
image_edges	encode	p95Ms	0.156013999999999	0.09611100000000761	1.6232689286344606
image_edges	encode	p99Ms	0.21112700000000473	0.15752700000001596	1.340259130180752
image_edges	submitWait	p50Ms	0.1772540000000049	0.18227300000000923	0.9724643803525258
image_edges	submitWait	p95Ms	0.3101639999999861	0.3201029999999889	0.9689506190194933
image_edges	submitWait	p99Ms	0.4238980000000083	0.4945120000000145	0.8572046785517761
image_edges	readback	p50Ms	0.05255900000000224	0.06159599999998022	0.8532859276579505
image_edges	readback	p95Ms	0.08525000000000205	0.12274199999998814	0.6945462840756244
image_edges	readback	p99Ms	0.15425999999999362	0.16848699999999894	0.9155602509392095
image_edges	total	p50Ms	0.45933500000001004	0.4102330000000052	1.1196929549792538
image_edges	total	p95Ms	0.7862609999999961	0.7477880000000141	1.0514490738016407
image_edges	total	p99Ms	1.0359809999999925	1.0997110000000134	0.9420484109006637
heat_diffusion	wallMs	p50Ms	0.7295640000000105	0.679949999999991	1.0729671299360546
heat_diffusion	wallMs	p95Ms	1.4096239999999796	1.2330120000000022	1.1432362377657128
heat_diffusion	wallMs	p99Ms	1.8658140000000003	2.024753000000004	0.9215020301241665
heat_diffusion	cpuMs	p50Ms	0.596	0.574	1.0383275261324043
heat_diffusion	cpuMs	p95Ms	1.835	1.717	1.0687245195107746
heat_diffusion	cpuMs	p99Ms	2.482	2.42	1.025619834710744
heat_diffusion	encode	p50Ms	0.1674950000000024	0.08733399999999847	1.917867039182968
heat_diffusion	encode	p95Ms	0.3334780000000137	0.25595200000000773	1.302892729886868
heat_diffusion	encode	p99Ms	1.0696439999999825	0.9465730000000008	1.1300174418665878
heat_diffusion	submitWait	p50Ms	0.24373900000000503	0.24056300000000874	1.0132023627906044
heat_diffusion	submitWait	p95Ms	0.3821700000000021	0.388842000000011	0.9828413597296365
heat_diffusion	submitWait	p99Ms	0.6901200000000074	0.7397429999999758	0.9329185947011731
heat_diffusion	readback	p50Ms	0.03188999999997577	0.02913499999999658	1.0945598077906131
heat_diffusion	readback	p95Ms	0.05830000000000268	0.08022200000002044	0.7267333150505825
heat_diffusion	readback	p99Ms	0.2363950000000159	0.10941600000001017	2.1605158294947167
heat_diffusion	total	p50Ms	0.5900209999999788	0.5234650000000158	1.1271450813329658
heat_diffusion	total	p95Ms	1.0254810000000134	0.9153440000000046	1.1203230697967193
heat_diffusion	total	p99Ms	1.6028390000000172	1.8313990000000047	0.8751992329361397
holoscript_lif	wallMs	p50Ms	1.0376649999999756	1.0301900000000046	1.0072559430784331
holoscript_lif	wallMs	p95Ms	1.9402939999999944	1.673121000000009	1.1596854023110008
holoscript_lif	wallMs	p99Ms	2.1481259999999907	1.8230130000000315	1.1783382784434084
holoscript_lif	cpuMs	p50Ms	0.876	0.83	1.055421686746988
holoscript_lif	cpuMs	p95Ms	1.822	1.452	1.2548209366391185
holoscript_lif	cpuMs	p99Ms	1.99	1.761	1.1300397501419648
holoscript_lif	encode	p50Ms	0.10833400000001348	0.053681000000011636	2.0181069652202828
holoscript_lif	encode	p95Ms	0.19223199999998997	0.14164700000000607	1.357120164916883
holoscript_lif	encode	p99Ms	0.5962129999999775	0.16540200000000027	3.604629931923293
holoscript_lif	submitWait	p50Ms	0.23788800000002652	0.2357939999999985	1.0088806330951086
holoscript_lif	submitWait	p95Ms	0.5648030000000404	0.576595999999995	0.9795472046286225
holoscript_lif	submitWait	p99Ms	0.6127639999999701	0.7087950000000092	0.8645151277872476
holoscript_lif	readback	p50Ms	0.0442740000000299	0.047889999999995325	0.9244936312389689
holoscript_lif	readback	p95Ms	0.12862200000000712	0.16099299999999062	0.7989291459878045
holoscript_lif	readback	p99Ms	0.23407100000000014	0.28929499999998143	0.8091083496085835
holoscript_lif	total	p50Ms	0.7321980000000394	0.6807719999999904	1.075540709664983
holoscript_lif	total	p95Ms	1.2282829999999763	1.2542819999999892	0.9792718064996443
holoscript_lif	total	p99Ms	1.4756490000000326	1.414022999999986	1.0435820350871572
