sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.089679003	0.064091000	0.020397902
1	0.091211796	0.066929000	0.018424034
2	0.085951805	0.062237000	0.019235849
3	0.086282015	0.062239000	0.018003941
4	0.097123146	0.069003000	0.019917011
5	0.093155146	0.069714000	0.017042160
6	0.090130091	0.065743000	0.022132158
7	0.086693048	0.062129000	0.023554087
8	0.085752010	0.061504000	0.021421194
9	0.085000038	0.061818000	0.021300077
10	0.085081100	0.061589000	0.020668983
11	0.089539051	0.065253000	0.018915892
12	0.090279818	0.066817000	0.020589113
13	0.085690975	0.062208000	0.025106907
14	0.102343082	0.063240000	0.026119232
15	0.101681948	0.070877000	0.025699139
16	0.095890999	0.068180000	0.022121191
17	0.085120916	0.061939000	0.022822857
18	0.092324018	0.068399000	0.023774862
19	0.101582050	0.076837000	0.017622948
20	0.089599133	0.066555000	0.019095898
21	0.094608068	0.067318000	0.018054008
22	0.085932016	0.062218000	0.018926144
23	0.090279818	0.067057000	0.020237923
24	0.094487906	0.065556000	0.019968033
25	0.134923935	0.069420000	0.022922993
26	0.090681076	0.065835000	0.018555164
27	0.098424911	0.066736000	0.018235207
28	0.095370054	0.068589000	0.018054008
29	0.088747025	0.063371000	0.018153906
30	0.086563110	0.062870000	0.018504143
31	0.093235970	0.066885000	0.019376993
32	0.090770960	0.066135000	0.018454075
33	0.089720011	0.065021000	0.022201777
34	0.087754965	0.062628000	0.018465042
35	0.092023849	0.066023000	0.018315077
36	0.094206810	0.069160000	0.018645048
37	0.091071844	0.066045000	0.018685102
38	0.088867903	0.063901000	0.018345118
39	0.092253923	0.067356000	0.018475056
40	0.088196993	0.063080000	0.018313885
41	0.088105917	0.063220000	0.024215937
42	0.092905045	0.066916000	0.019026041
43	0.088757038	0.063048000	0.018265009
44	0.093175888	0.067560000	0.018264055
45	0.088305950	0.063179000	0.018135071
46	0.088496923	0.063379000	0.018324852
47	0.096312046	0.070962000	0.018504858
48	0.088637829	0.063099000	0.018104076
49	0.088176012	0.063501000	0.025647879
50	0.090600014	0.064101000	0.029465914
51	0.092043877	0.063819000	0.018514872
52	0.096200943	0.071145000	0.018795013
53	0.088445902	0.063170000	0.018163919
54	0.087524891	0.062559000	0.018325090
55	0.093536139	0.068459000	0.018234015
56	0.087916136	0.063038000	0.018374920
57	0.091953039	0.066507000	0.025347948
58	0.089097977	0.063199000	0.019186020
59	0.098535776	0.073910000	0.018445015
60	0.087344885	0.062931000	0.018115044
61	0.088166952	0.062368000	0.017903090
62	0.087255001	0.062387000	0.018085003
63	0.090270042	0.065173000	0.018263817
64	0.087565184	0.062837000	0.017943859
65	0.087645054	0.062618000	0.018273830
66	0.093867064	0.066334000	0.018846035
67	0.089107990	0.063952000	0.022743225
68	0.091011047	0.066265000	0.018435001
69	0.087585211	0.062018000	0.018003941
70	0.087716103	0.062216000	0.018083811
71	0.087505102	0.062526000	0.018123865
72	0.086724043	0.062250000	0.017884016
73	0.090600967	0.065303000	0.018515110
74	0.087655067	0.062670000	0.018304110
75	0.086983919	0.062468000	0.020048141
76	0.091453075	0.062917000	0.018906116
77	0.089067936	0.063459000	0.018153906
78	0.090921164	0.066247000	0.018455029
79	0.087204933	0.062208000	0.018604994
80	0.087315083	0.062396000	0.018363953
81	0.087676048	0.062428000	0.018254042
82	0.098134995	0.073397000	0.018033981
83	0.090960979	0.065512000	0.018686056
84	0.091953039	0.064423000	0.018463850
85	0.086984158	0.062207000	0.018054008
86	0.087083817	0.062087000	0.018334866
87	0.087926149	0.062367000	0.018475056
88	0.090862036	0.066076000	0.018515110
89	0.087475061	0.062468000	0.023663998
90	0.089239120	0.063310000	0.018414974
91	0.088157177	0.063371000	0.018854856
92	0.096282005	0.069361000	0.019747019
93	0.087996006	0.063189000	0.019075871
94	0.090781212	0.065915000	0.018574953
95	0.094599009	0.068761000	0.018845797
96	0.088297129	0.063560000	0.018495083
97	0.088186026	0.063080000	0.023374081
98	0.088726997	0.063612000	0.018654823
99	0.091872931	0.066615000	0.018555164
100	0.102442980	0.078069000	0.018534899
101	0.088607073	0.063683000	0.018285036
102	0.088225842	0.062947000	0.018875837
103	0.096581936	0.071095000	0.019155979
104	0.095119953	0.068531000	0.019325972
105	0.087353945	0.062587000	0.023204088
106	0.088988066	0.063731000	0.019305944
107	0.087734938	0.062879000	0.018234968
108	0.094278097	0.067588000	0.018754959
109	0.091712952	0.066334000	0.018744946
110	0.087715864	0.062878000	0.018815041
111	0.093266010	0.068781000	0.018354893
112	0.087734938	0.062871000	0.018545151
113	0.087605953	0.062818000	0.034093857
114	0.092293978	0.066693000	0.019556999
115	0.087665081	0.062881000	0.018985987
116	0.126859188	0.093477000	0.023063898
117	0.095990896	0.070452000	0.019227028
118	0.089198112	0.064620000	0.018224001
119	0.092684984	0.067678000	0.018765926
120	0.086222887	0.062276000	0.018074989
121	0.087165117	0.062868000	0.018485069
122	0.093365908	0.068098000	0.018234015
123	0.087635994	0.063481000	0.018424034
124	0.098785877	0.069874000	0.024706841
125	0.088927984	0.063291000	0.018785954
126	0.087734938	0.063008000	0.018555164
127	0.091403008	0.066499000	0.078498125
128	0.148789883	0.089717000	0.028254032
129	0.127571106	0.071937000	0.026919842
130	0.141597033	0.066795000	0.034885168
131	0.122870922	0.071065000	0.033393145
132	0.094879150	0.064593000	0.018415213
133	0.085561037	0.062349000	0.023313999
134	0.092905045	0.066666000	0.018034220
135	0.085340977	0.062215000	0.018224001
136	0.091842890	0.068382000	0.017713070
137	0.085280895	0.062139000	0.020097971
138	0.085150957	0.062158000	0.018615007
139	0.091322184	0.067366000	0.035216093
140	0.098805904	0.063708000	0.020267963
141	0.085451126	0.062248000	0.022382021
142	0.088135958	0.064411000	0.018033981
143	0.086463928	0.063031000	0.018303871
144	0.090289831	0.066326000	0.018835783
145	0.085129976	0.062289000	0.018013954
146	0.092274189	0.067225000	0.025217056
147	0.087996006	0.063091000	0.034303904
148	0.104397058	0.063881000	0.017894030
149	0.087445021	0.061856000	0.017773867
150	0.089769840	0.064922000	0.020689011
151	0.085731983	0.062188000	0.021511078
152	0.086072206	0.062358000	0.020940065
153	0.085861921	0.062538000	0.018073797
154	0.096621990	0.067296000	0.018485069
155	0.104587078	0.066105000	0.018845797
156	0.085621834	0.062157000	0.021731138
157	0.086472988	0.062607000	0.018574953
158	0.090920925	0.062200000	0.020359039
159	0.086313009	0.062017000	0.018303871
160	0.092365026	0.065948000	0.021811962
161	0.086261988	0.062220000	0.018105030
162	0.093857050	0.068129000	0.019315958
163	0.099947929	0.064173000	0.018023968
164	0.086553097	0.062499000	0.022241831
165	0.090549946	0.065658000	0.018355131
166	0.085551023	0.062326000	0.018125057
167	0.086652994	0.062457000	0.018594980
168	0.091111898	0.063490000	0.018655062
169	0.086874008	0.062961000	0.017943859
170	0.095510006	0.071764000	0.030086040
171	0.092244148	0.064673000	0.025297880
172	0.109777212	0.065851000	0.020770073
173	0.087996006	0.063931000	0.023273945
