sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.103255033	0.096382000	0.023042917
1	0.047338963	0.047520000	0.004990101
2	0.033503056	0.033643000	0.004759073
3	0.034104109	0.034245000	0.003957987
4	0.033782959	0.033924000	0.004176855
5	0.029525995	0.029687000	0.006733179
6	0.029985905	0.030117000	0.004438162
7	0.030236959	0.030377000	0.004198074
8	0.031589031	0.031730000	0.004036903
9	0.032020092	0.032171000	0.004076958
10	0.029845953	0.029997000	0.004538059
11	0.031660080	0.031800000	0.004237890
12	0.029886007	0.030027000	0.004016876
13	0.029957056	0.030097000	0.006461859
14	0.032330990	0.032481000	0.004458904
15	0.030367851	0.030508000	0.004307985
16	0.032231092	0.032381000	0.004066944
17	0.029896975	0.030036000	0.004047155
18	0.029937029	0.030077000	0.004749060
19	0.035616875	0.035768000	0.004609108
20	0.029935837	0.030087000	0.003916979
21	0.029946089	0.030097000	0.006331921
22	0.029776096	0.029907000	0.004098177
23	0.029695988	0.029827000	0.004317999
24	0.032971859	0.033123000	0.004429102
25	0.069020033	0.067166000	0.007153988
26	0.036388159	0.036570000	0.004688978
27	0.031849861	0.031980000	0.004547834
28	0.030737877	0.030888000	0.004528999
29	0.030478001	0.030618000	0.004258156
30	0.032190084	0.032341000	0.004106998
31	0.033002138	0.033142000	0.004358053
32	0.030267000	0.030417000	0.006381989
33	0.030388117	0.030538000	0.004117966
34	0.030246973	0.030397000	0.004348040
35	0.031980038	0.032111000	0.004617929
36	0.032211065	0.032351000	0.004549026
37	0.030116081	0.030267000	0.004318237
38	0.031529188	0.031680000	0.004148006
39	0.030507088	0.030648000	0.004528046
40	0.029886961	0.030037000	0.005500078
41	0.031730175	0.031890000	0.004578829
42	0.029985905	0.030137000	0.004127979
43	0.032561064	0.032712000	0.004248142
44	0.029956102	0.030087000	0.004287958
45	0.030136824	0.030277000	0.004127979
46	0.032249928	0.032391000	0.004288197
47	0.032620907	0.032772000	0.004096985
48	0.029615879	0.029756000	0.008014917
49	0.029976845	0.030137000	0.004118204
