sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.131417990	0.131659000	0.016751051
1	0.129955053	0.130166000	0.017021894
2	0.124523878	0.124726000	0.014938116
3	0.130747080	0.130958000	0.015258789
4	0.129854918	0.130056000	0.015690088
5	0.131288052	0.131489000	0.015820026
6	0.130335093	0.130537000	0.015288830
7	0.129763842	0.129966000	0.015197992
8	0.130785942	0.130987000	0.015339136
9	0.126247883	0.126459000	0.019035101
10	0.124845028	0.125056000	0.015919924
11	0.126758099	0.126980000	0.015299082
12	0.126208067	0.126409000	0.014947891
13	0.129042864	0.129244000	0.015419006
14	0.127340078	0.127561000	0.015769005
15	0.128642082	0.128844000	0.015069008
16	0.128461838	0.128694000	0.015267849
17	0.126196861	0.126409000	0.017071962
18	0.124233961	0.124445000	0.015218019
19	0.123682022	0.123894000	0.014336824
20	0.129955053	0.130186000	0.015799999
21	0.127269030	0.127471000	0.014907837
22	0.127510071	0.127711000	0.015328884
23	0.127399921	0.127611000	0.015748978
24	0.125807047	0.126018000	0.014767885
25	0.125596046	0.125798000	0.017182112
26	0.123692989	0.123904000	0.015187979
27	0.132268906	0.132470000	0.015779972
28	0.125135899	0.125337000	0.014236927
29	0.130285025	0.130497000	0.015229225
30	0.130346060	0.130557000	0.015388966
31	0.130465984	0.130677000	0.015840054
32	0.130757093	0.130948000	0.015749931
33	0.122711182	0.122902000	0.018715858
34	0.127710104	0.127922000	0.015147924
35	0.131516933	0.131719000	0.015319109
36	0.128883123	0.129084000	0.015840054
37	0.127469778	0.127671000	0.014597178
38	0.129834890	0.130036000	0.015109062
39	0.131266832	0.131469000	0.015449047
40	0.130275011	0.130477000	0.015619040
41	0.313660860	0.309775000	0.039253950
42	0.283012867	0.283606000	0.031269073
43	0.254438877	0.254862000	0.021669865
44	0.129784107	0.130016000	0.017061949
45	0.124724865	0.124937000	0.016100168
46	0.122550964	0.122742000	0.014958143
47	0.124343872	0.124556000	0.014998198
48	0.124114037	0.124325000	0.015459061
49	0.124585152	0.124796000	0.015889883
50	0.122050047	0.122261000	0.014538050
51	0.128992796	0.129205000	0.014999151
52	0.124974966	0.125177000	0.015319109
53	0.124104023	0.124345000	0.015439034
54	0.128981829	0.129204000	0.016200066
55	0.127139091	0.127341000	0.015157938
56	0.129244089	0.129454000	0.015498877
57	0.126437902	0.126659000	0.019257069
58	0.127529860	0.127732000	0.015869141
59	0.129764080	0.129976000	0.014928818
60	0.128721952	0.128924000	0.015098095
61	0.128511906	0.128723000	0.015619040
62	0.128061771	0.128272000	0.015599012
63	0.122750998	0.122973000	0.014827967
64	0.128772974	0.128984000	0.015639067
65	0.128351927	0.128563000	0.016350031
66	0.123421907	0.123634000	0.015228987
67	0.126178026	0.126369000	0.015810013
68	0.123121977	0.123343000	0.014897823
69	0.126178026	0.126389000	0.014957905
70	0.125056028	0.125277000	0.015208960
71	0.125485897	0.125697000	0.015850067
72	0.127219915	0.127421000	0.014908075
73	0.124464035	0.124676000	0.016300917
74	0.123833179	0.124044000	0.015069008
75	0.124614954	0.124826000	0.015309095
76	0.125876904	0.126088000	0.015690088
77	0.123874187	0.124084000	0.014918089
78	0.127691031	0.127902000	0.015528917
79	0.130635977	0.130848000	0.015358925
80	0.126117945	0.126329000	0.016191006
81	0.121859074	0.122070000	0.015839815
82	0.124644995	0.124846000	0.014918089
83	0.126198053	0.126389000	0.015228987
84	0.124333858	0.124545000	0.015448809
85	0.124675035	0.124937000	0.016120195
86	0.125936985	0.126149000	0.015228987
87	0.124914885	0.125117000	0.015048981
88	0.125065088	0.125277000	0.015558958
89	0.124485016	0.124696000	0.020197868
90	0.123743057	0.123965000	0.014868021
91	0.127730846	0.127932000	0.015028000
92	0.126678944	0.126890000	0.015218973
93	0.129775047	0.129976000	0.015639067
94	0.123451948	0.123664000	0.014817953
95	0.126688957	0.126900000	0.014918804
96	0.126899004	0.127130000	0.015099049
97	0.125707150	0.125908000	0.015388966
98	0.125556946	0.125778000	0.015810013
99	0.123071909	0.123273000	0.014528036
100	0.186992168	0.152869000	0.019156218
101	0.134824038	0.135055000	0.015058041
102	0.128612041	0.128824000	0.014938116
103	0.128241062	0.128473000	0.015508890
104	0.127911091	0.128132000	0.015548944
105	0.126528978	0.126750000	0.015920162
106	0.124294996	0.124496000	0.014777899
107	0.133911848	0.134134000	0.015860081
108	0.126378059	0.126579000	0.015398979
109	0.127028942	0.127260000	0.015578985
110	0.124134064	0.124345000	0.014657974
111	0.126778841	0.126980000	0.015088081
112	0.133390903	0.133593000	0.015047789
113	0.126909018	0.127131000	0.015518904
114	0.130215168	0.130427000	0.014728069
115	0.126639128	0.126860000	0.015620232
116	0.126287937	0.126499000	0.015098810
117	0.127068996	0.127301000	0.015488863
118	0.126828909	0.127030000	0.015609980
119	0.125005960	0.125227000	0.014637947
120	0.127911091	0.128112000	0.014997959
121	0.133661032	0.133893000	0.015419006
122	0.126999140	0.127211000	0.015388966
123	0.123852968	0.124085000	0.015318155
124	0.127079010	0.127291000	0.014727831
125	0.127509832	0.127741000	0.015069008
126	0.126678944	0.126870000	0.015329123
127	0.125677109	0.125877000	0.015540123
128	0.131848097	0.132050000	0.014728069
129	0.127098799	0.127321000	0.014987946
130	0.127340078	0.127561000	0.015309095
131	0.126387835	0.126720000	0.016231060
132	0.123662949	0.123874000	0.014586926
133	0.129072905	0.129274000	0.014967918
134	0.127480030	0.127701000	0.018854856
135	0.130997181	0.131228000	0.015489101
136	0.126248121	0.126459000	0.015689135
137	0.124955177	0.125167000	0.014718056
138	0.127981186	0.128182000	0.015498877
139	0.125736952	0.125948000	0.016530991
140	0.125656128	0.125878000	0.015708923
141	0.124664068	0.124866000	0.016200066
142	0.136536837	0.136778000	0.015058041
143	0.127800941	0.128012000	0.015219212
144	0.127660990	0.127882000	0.015829802
145	0.125746965	0.125948000	0.014527082
146	0.129023075	0.129254000	0.014766932
147	0.127218962	0.127421000	0.016149998
148	0.132268906	0.132521000	0.017733097
149	0.126348019	0.126560000	0.015629053
150	0.123892784	0.124115000	0.014708042
151	0.126258135	0.126469000	0.015048027
152	0.126297951	0.126529000	0.015149117
153	0.125896931	0.126109000	0.015368938
154	0.123623133	0.123844000	0.014396906
155	0.132027864	0.132301000	0.017301798
156	0.128350973	0.128553000	0.015309095
157	0.127259016	0.127461000	0.015799999
158	0.127510071	0.127732000	0.015789032
159	0.124916077	0.125116000	0.015038013
160	0.126939058	0.127160000	0.015028000
161	0.126688004	0.126900000	0.015177965
162	0.135054111	0.135266000	0.016390800
163	0.124804974	0.125016000	0.014667988
164	0.126688004	0.126910000	0.015028000
165	0.126729012	0.126920000	0.014997959
166	0.126218081	0.126429000	0.015419006
167	0.131347895	0.131539000	0.016170979
168	0.126809120	0.127020000	0.014627934
169	0.136337042	0.136729000	0.016059875
170	0.129543781	0.129765000	0.015168905
171	0.126078129	0.126289000	0.017652988
172	0.124365091	0.124586000	0.014758110
173	0.128462076	0.128663000	0.014756918
174	0.128271103	0.128492000	0.014988184
175	0.127190113	0.127401000	0.015469074
176	0.129363060	0.129635000	0.014377117
177	0.128772020	0.128964000	0.014728069
178	0.128643036	0.128864000	0.015048027
179	0.125837088	0.126049000	0.016992092
180	0.125546932	0.125758000	0.015578985
181	0.126296997	0.126510000	0.014577150
182	0.127259016	0.127481000	0.014727116
183	0.135405064	0.135606000	0.015218973
184	0.126518011	0.126739000	0.015408993
185	0.124233961	0.124495000	0.014167070
186	0.126960039	0.127171000	0.014698029
187	0.125976801	0.126168000	0.015910149
188	0.125686884	0.125898000	0.015358925
189	0.126087904	0.126309000	0.015609980
190	0.132488966	0.132691000	0.014667034
191	0.127599955	0.127811000	0.014948845
192	0.126718044	0.126960000	0.015179157
193	0.126256943	0.126479000	0.015449047
194	0.124163866	0.124375000	0.014456987
195	0.126047134	0.126269000	0.016010046
196	0.125716925	0.125928000	0.014968872
197	0.136126041	0.136368000	0.015419006
198	0.126006842	0.126219000	0.015689135
199	0.124153137	0.124375000	0.014577150
200	0.127370119	0.127571000	0.014967918
201	0.126659155	0.126879000	0.015218973
