sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.184478045	0.124566000	0.026449919
1	0.177865982	0.121896000	0.026410103
2	0.179096937	0.121258000	0.026820183
3	0.179658890	0.122579000	0.024605989
4	0.189266920	0.125904000	0.026981115
5	0.179919004	0.121212000	0.023965120
6	0.175119877	0.120078000	0.025989056
7	0.171232939	0.118225000	0.026530027
8	0.176101923	0.118293000	0.025928020
9	0.180670023	0.120486000	0.025818110
10	0.189377069	0.119219000	0.026329041
11	0.173587084	0.119169000	0.025578022
12	0.172615051	0.117480000	0.025238037
13	0.182543993	0.122623000	0.025888920
14	0.182193995	0.122109000	0.025197983
15	0.171163082	0.118153000	0.026149988
16	0.177885056	0.120767000	0.026358843
17	0.179648876	0.123775000	0.026479959
18	0.181883097	0.121249000	0.026118994
19	0.179298162	0.120577000	0.024466991
20	0.169760942	0.117072000	0.025727987
21	0.170432091	0.116034000	0.025177002
22	0.177825928	0.120858000	0.025828838
23	0.182184219	0.121199000	0.026369810
24	0.176692963	0.119163000	0.025708914
25	0.169620037	0.116332000	0.025188208
26	0.175652027	0.119724000	0.025578022
27	0.184067011	0.122232000	0.028012991
28	0.182643890	0.120958000	0.025888920
29	0.173166990	0.118769000	0.026520014
30	0.177704811	0.119179000	0.025629044
31	0.176702976	0.121307000	0.026228905
32	0.181583166	0.121648000	0.026139975
33	0.181161165	0.121653000	0.025347948
34	0.169660091	0.116972000	0.025327921
35	0.175169945	0.119002000	0.025598049
36	0.179288149	0.122322000	0.026159048
37	0.180279970	0.120042000	0.025778055
38	0.175822020	0.117724000	0.024435997
39	0.166133165	0.114236000	0.024736166
40	0.172996044	0.118151000	0.025699139
41	0.180621147	0.121629000	0.026149035
42	0.184046984	0.122422000	0.026149035
43	0.169800043	0.115710000	0.025166988
44	0.171694040	0.118422000	0.025187969
45	0.176102161	0.119920000	0.028264046
46	0.181332111	0.120886000	0.026690006
47	0.181182146	0.120849000	0.025688887
48	0.167376041	0.115149000	0.025598049
49	0.176773787	0.119605000	0.025517941
50	0.186823130	0.128193000	0.026580095
51	0.190059185	0.128901000	0.026630878
52	0.180170059	0.121109000	0.028884888
53	0.181361914	0.122176000	0.025296926
54	0.182865143	0.127371000	0.025487900
55	0.189065933	0.130045000	0.026059866
56	0.179497957	0.118894000	0.025126934
57	0.173777819	0.119070000	0.025477886
58	0.178868055	0.120116000	0.025658131
59	0.176682949	0.120959000	0.026550055
60	0.181571960	0.120909000	0.026619911
61	0.179077864	0.118906000	0.025547981
62	0.171643972	0.117834000	0.026008844
63	0.174198866	0.119196000	0.026048899
64	0.177545071	0.120326000	0.026160002
65	0.179478884	0.118984000	0.025568008
66	0.178776979	0.120655000	0.023765087
67	0.180641174	0.121471000	0.025197983
68	0.176172018	0.120061000	0.029375076
69	0.312248945	0.209686000	0.041337967
70	0.245993853	0.154715000	0.034324169
71	0.214994907	0.147189000	0.028693914
72	0.228781939	0.154279000	0.030187130
73	0.217170000	0.146703000	0.029505014
74	0.204325199	0.140278000	0.032431126
75	0.209955931	0.143287000	0.028944969
76	0.223471880	0.153935000	0.029896021
77	0.216657877	0.147517000	0.029716015
78	0.206840038	0.140606000	0.034154892
79	0.207360983	0.140455000	0.029316187
80	0.222269058	0.152126000	0.029746056
81	0.217849970	0.148493000	0.029145002
82	0.203433990	0.139990000	0.034986019
83	0.207250834	0.142233000	0.029274940
84	0.218271971	0.154469000	0.029665947
85	0.219413996	0.149872000	0.028885126
86	0.207310915	0.141198000	0.036428928
87	0.209204912	0.142418000	0.031629801
88	0.217108965	0.147898000	0.031279087
89	0.219053030	0.150565000	0.029716015
90	0.208593130	0.144851000	0.034003973
91	0.206329107	0.141036000	0.029875994
92	0.215034962	0.144531000	0.028914928
93	0.210607052	0.142948000	0.028784037
94	0.209295034	0.142854000	0.029134989
95	0.209594965	0.141886000	0.029726028
96	0.208231926	0.138924000	0.029536009
97	0.210446835	0.140949000	0.028484106
98	0.207251072	0.142371000	0.028453112
99	0.205938101	0.141199000	0.030608177
100	0.213643074	0.142730000	0.030677795
101	0.213854074	0.144131000	0.029054880
102	0.205727816	0.141116000	0.028454065
103	0.211239100	0.145645000	0.049742937
104	0.250361919	0.170410000	0.030277014
105	0.193925858	0.131108000	0.028464079
106	0.180830956	0.123121000	0.026168823
107	0.194397211	0.131266000	0.026490211
108	0.189337015	0.128756000	0.026290178
109	0.185278893	0.126432000	0.025098085
110	0.173747063	0.119916000	0.026839972
111	0.184568167	0.127779000	0.027122021
112	0.187233210	0.126369000	0.026239872
113	0.188776016	0.128286000	0.026319981
114	0.174669027	0.121559000	0.026139021
115	0.185619831	0.128063000	0.026490211
116	0.185288906	0.126849000	0.025108099
117	0.186482191	0.126286000	0.027101040
118	0.182573795	0.123663000	0.024737120
119	0.176262140	0.122675000	0.026579857
120	0.177574873	0.123015000	0.027221918
121	0.188555956	0.125400000	0.027382135
122	0.186250925	0.124417000	0.026780844
123	0.179698944	0.124944000	0.026510000
124	0.184528112	0.129621000	0.026951075
125	0.189777136	0.132452000	0.026870012
126	0.192732811	0.129223000	0.027180910
127	0.186141014	0.126181000	0.025057077
128	0.181211948	0.125851000	0.025047064
129	0.177003860	0.121411000	0.026941061
130	0.183587074	0.125969000	0.027010918
131	0.183105946	0.122804000	0.026208878
132	0.174408913	0.119895000	0.026070118
133	0.180299997	0.120618000	0.026289940
134	0.174749851	0.118715000	0.032541990
135	0.182734966	0.121700000	0.026269913
136	0.180510044	0.120949000	0.025318146
137	0.170402050	0.117995000	0.025989056
138	0.174349070	0.117621000	0.025177002
139	0.183326006	0.121420000	0.025819063
140	0.181942940	0.121841000	0.026368856
141	0.179037809	0.120590000	0.024236202
142	0.179758787	0.123646000	0.026639938
143	0.175369978	0.120889000	0.025868893
144	0.182173014	0.122631000	0.026239872
145	0.182884932	0.122471000	0.026581049
146	0.178867102	0.121798000	0.025388002
147	0.177193880	0.120679000	0.025908947
148	0.182013035	0.125574000	0.027271032
149	0.185379982	0.125106000	0.027001143
150	0.182894945	0.122797000	0.026819944
151	0.176483154	0.121406000	0.026248932
152	0.175890923	0.119924000	0.025568008
153	0.184046984	0.123693000	0.026399851
154	0.182895184	0.122582000	0.026510000
155	0.179819107	0.122030000	0.025878906
156	0.175790787	0.120929000	0.025748014
157	0.177995920	0.122659000	0.025127888
158	0.186492205	0.124293000	0.026710033
159	0.184338093	0.124142000	0.026480198
160	0.174329042	0.120193000	0.026139021
161	0.178126097	0.120849000	0.025298119
162	0.187734127	0.125056000	0.025197029
163	0.184206963	0.123911000	0.026670218
164	0.180189133	0.121715000	0.024927139
165	0.174679995	0.119624000	0.025758982
166	0.176603079	0.121550000	0.026940823
167	0.211809874	0.151987000	0.027300835
168	0.182825089	0.122200000	0.027230978
169	0.173316956	0.119827000	0.026159048
170	0.177034140	0.120514000	0.025918961
171	0.488019943	0.123032000	0.026710033
172	0.177744865	0.120206000	0.025969028
173	0.174019098	0.119132000	0.026679993
174	0.176693201	0.119619000	0.024325848
175	0.234502077	0.146695000	0.030045986
176	0.209625959	0.140824000	0.029716015
177	0.204846144	0.138422000	0.029977083
178	0.211097956	0.142938000	0.032982111
179	0.214605093	0.145033000	0.029484987
180	0.208263159	0.140016000	0.028665066
181	0.207881927	0.141290000	0.029274940
182	0.205597878	0.142490000	0.032180071
183	0.211709023	0.143143000	0.029024124
184	0.214635134	0.146147000	0.029716015
185	0.206880093	0.141241000	0.029073954
186	0.204215050	0.138453000	0.031680107
187	0.213001966	0.143270000	0.029536009
188	0.212951899	0.144552000	0.029015064
189	0.208993912	0.142605000	0.029144764
190	0.207701921	0.141638000	0.030026913
191	0.213242054	0.143773000	0.029896975
192	0.209485054	0.142032000	0.028373957
193	0.207551956	0.140768000	0.029314995
194	0.206569910	0.141660000	0.029345036
195	0.208823919	0.140150000	0.030076981
196	0.211309195	0.142619000	0.028394222
197	0.210235834	0.143815000	0.028473854
198	0.227820158	0.156034000	0.042659998
199	0.197712898	0.129386000	0.033031940
200	0.184206963	0.123323000	0.025578022
201	0.178425789	0.121098000	0.025507927
202	0.175540924	0.121171000	0.024165154
203	0.198935032	0.126157000	0.026369095
204	0.179077864	0.120060000	0.024725914
205	0.170140982	0.118091000	0.025437832
206	0.178157091	0.121746000	0.025347948
207	0.181882858	0.124808000	0.027962923
208	0.181231976	0.121683000	0.026299000
209	0.178015947	0.119764000	0.023824930
210	0.174288034	0.119949000	0.025768995
211	0.175640821	0.120549000	0.026038885
212	0.181531906	0.123548000	0.026268959
213	0.180561066	0.121110000	0.026360035
214	0.176664114	0.121101000	0.026388884
215	0.176052094	0.121932000	0.025899172
216	0.177325010	0.122560000	0.027121067
217	0.181321859	0.123108000	0.026319981
218	0.179689169	0.120678000	0.025918961
219	0.171783924	0.119886000	0.026068926
220	0.176814079	0.121941000	0.025488138
221	0.177043915	0.122280000	0.028774977
222	0.179688931	0.120536000	0.026830912
223	0.182413816	0.123624000	0.024546146
224	0.176872969	0.122131000	0.025889158
225	0.173185825	0.120051000	0.026288986
226	0.180269957	0.121150000	0.028223038
227	0.179008007	0.119846000	0.025707960
228	0.176442862	0.120996000	0.024356127
229	0.174779892	0.120551000	0.026188850
230	0.177505016	0.121841000	0.026169062
231	0.182854891	0.122176000	0.025517941
232	0.185509920	0.125855000	0.025278091
233	0.172906160	0.120916000	0.025588036
234	0.174037933	0.119256000	0.025878906
235	0.177154064	0.119291000	0.028824806
236	0.181282043	0.122415000	0.026049137
237	0.179086924	0.120970000	0.024286032
238	0.184839010	0.124516000	0.026250124
239	0.172055006	0.119534000	0.026329994
240	0.174659014	0.118213000	0.025949001
241	0.181944132	0.122592000	0.025868893
242	0.176232100	0.120410000	0.025147915
243	0.171714067	0.119188000	0.025357962
244	0.174288988	0.118883000	0.023715019
245	0.185700893	0.123734000	0.025748968
246	0.181092024	0.122123000	0.025448084
247	0.194858074	0.122010000	0.026179075
248	0.174950123	0.118863000	0.025668144
249	0.179569006	0.122631000	0.024205923
250	0.183225870	0.123572000	0.027642012
251	0.182785034	0.124136000	0.024515867
252	0.196800947	0.123129000	0.026400089
253	0.176291943	0.121889000	0.025928974
254	0.194617033	0.124438000	0.026449919
255	0.181523085	0.121980000	0.026210070
256	0.172034025	0.119697000	0.026300192
257	0.171773911	0.119295000	0.026149035
258	0.195028067	0.120628000	0.026238918
259	0.182374001	0.120770000	0.025959015
260	0.181333065	0.122544000	0.025218010
