sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.270749807	0.191994000	0.041136980
1	0.254278183	0.177637000	0.039695024
2	0.259317875	0.182382000	0.035236120
3	0.281119823	0.201103000	0.035978079
4	0.258247137	0.182249000	0.035387039
5	0.255381107	0.179667000	0.034325123
6	0.266420841	0.186716000	0.034906149
7	0.258275986	0.178911000	0.035106182
8	0.248797894	0.173120000	0.036509037
9	0.246925116	0.172157000	0.043963194
10	0.250401020	0.173959000	0.034204006
11	0.263246059	0.182105000	0.034685850
12	0.256542921	0.179710000	0.035476923
13	0.262694836	0.181945000	0.035987854
14	0.256042004	0.179807000	0.034013987
15	0.255240917	0.178327000	0.034664869
16	0.251062155	0.172255000	0.038471937
17	0.246172905	0.171368000	0.038301945
18	0.251773834	0.176413000	0.034615993
19	0.248428106	0.174580000	0.034095049
20	0.256472826	0.180400000	0.034435034
21	0.251963854	0.175599000	0.034674883
22	0.249258995	0.174331000	0.035006046
23	0.251664162	0.172557000	0.033603907
24	0.249099970	0.172623000	0.036329031
25	0.251322985	0.174423000	0.035767078
26	0.254589081	0.176557000	0.034735203
27	0.252044916	0.175300000	0.035416842
28	0.249218941	0.172889000	0.033833027
29	0.253107071	0.180743000	0.036418200
30	0.250061035	0.175963000	0.035145998
31	0.250332117	0.174871000	0.035477161
32	0.254449129	0.173543000	0.034074068
33	0.255692005	0.175653000	0.034504890
34	0.247875929	0.172440000	0.034113884
35	0.257333994	0.175898000	0.036809206
36	0.278675079	0.199006000	0.033773899
37	0.247907162	0.172716000	0.034185171
38	0.258145809	0.176217000	0.034085035
39	0.249580145	0.173117000	0.035276890
40	0.246714830	0.171272000	0.036207914
41	0.246583939	0.170621000	0.034574986
42	0.251483917	0.175099000	0.035106182
43	0.253246069	0.174119000	0.035135984
44	0.249490023	0.173008000	0.035016060
45	0.247245073	0.170745000	0.034103870
46	0.252074003	0.173461000	0.034304857
47	0.249348879	0.173388000	0.034775972
48	0.246104002	0.170648000	0.035816908
49	0.250591993	0.174780000	0.039233923
50	0.245583057	0.169892000	0.034474850
51	0.248998880	0.172594000	0.034725904
52	0.248697996	0.173317000	0.035005808
53	0.253546953	0.175542000	0.035055876
54	0.246003151	0.170141000	0.033602953
55	0.249669790	0.174391000	0.034544945
56	0.250782013	0.173866000	0.035616875
57	0.246715069	0.171508000	0.035816908
58	0.247856140	0.171466000	0.035145998
59	0.244789839	0.169531000	0.036458969
60	0.249289036	0.173910000	0.034394979
61	0.248208046	0.173099000	0.034905910
62	0.248017073	0.172527000	0.035095930
63	0.250200987	0.171904000	0.033572912
64	0.246814013	0.171884000	0.034304857
65	0.258146048	0.176530000	0.034655094
66	0.249940157	0.174412000	0.034455061
67	0.243369102	0.169117000	0.033632994
68	0.246423960	0.171765000	0.034093857
69	0.245733023	0.171121000	0.033673048
70	0.252125025	0.175028000	0.034104109
71	0.244540930	0.170250000	0.034715891
72	0.244670153	0.170446000	0.034605026
73	0.250721931	0.175892000	0.034495115
74	0.245651960	0.171515000	0.034343958
75	0.259768963	0.179089000	0.037019968
76	0.287050962	0.212485000	0.033743858
77	0.249038935	0.173895000	0.033653975
78	0.258327007	0.177085000	0.036087990
79	0.252195120	0.174451000	0.035958052
80	0.254398823	0.178019000	0.036547899
81	0.250370979	0.174840000	0.034625053
82	0.248748064	0.173508000	0.033902884
83	0.250902891	0.174200000	0.034294128
84	0.258255959	0.177319000	0.035245895
