application	metric	summary	firstVariant	pairs	lowerRatio	medianRatio	upperRatio	maximumRegression	nullConsistent	regressionBandResolved
heat_diffusion	allocatedBufferBytes	process	baseline	32	1.0	1.0	1.0	0.1	True	True
heat_diffusion	allocatedBufferBytes	process	candidate	32	1.0	1.0	1.0	0.1	True	True
heat_diffusion	coldCpuMs	process	baseline	32	0.7356216907065911	0.9282748138830941	1.3372448979591838	0.1	True	False
heat_diffusion	coldCpuMs	process	candidate	32	0.738248673237301	0.9750814970417481	1.1284147128414714	0.1	True	False
heat_diffusion	coldWallMs	process	baseline	32	0.745354065592419	0.9320825111904689	1.249235886940169	0.05	True	False
heat_diffusion	coldWallMs	process	candidate	32	0.7554766432317888	0.9879976765995018	1.092394240065764	0.05	True	False
heat_diffusion	cpuMs	p50Ms	baseline	32	0.7399328859060403	1.0035885167464116	1.3932853717026379	0.1	True	False
heat_diffusion	cpuMs	p50Ms	candidate	32	0.7448630136986302	1.0131210945732725	1.0656934306569343	0.1	True	False
heat_diffusion	cpuMs	p95Ms	baseline	32	0.7815866797257591	1.0401615880852124	1.5019455252918288	0.1	True	False
heat_diffusion	cpuMs	p95Ms	candidate	32	0.7872523686477175	1.0937289062590214	1.4715328467153284	0.1	True	False
heat_diffusion	cpuMs	p99Ms	baseline	32	0.561266294227188	0.9185825202252307	1.8615888615888616	0.1	True	False
heat_diffusion	cpuMs	p99Ms	candidate	32	0.7263959390862944	1.0401630078115265	1.4256480218281036	0.1	True	False
heat_diffusion	deviceStartupMs	process	baseline	32	0.9086519523000752	0.9908380429466084	1.08386871887192	0.05	True	False
heat_diffusion	deviceStartupMs	process	candidate	32	0.8869695397118631	0.9918685752683656	1.1052118688491501	0.05	True	False
heat_diffusion	encode	p50Ms	baseline	32	0.7343491655663396	1.0060927194048799	1.3731999315886543	0.05	True	False
heat_diffusion	encode	p50Ms	candidate	32	0.8221795043736825	1.009161822845748	1.1490074269459156	0.05	True	False
heat_diffusion	encode	p95Ms	baseline	32	0.5686325864903184	1.1515558683526066	2.070174995900225	0.05	True	False
heat_diffusion	encode	p95Ms	candidate	32	0.5512488457469572	1.001584310146014	2.261708847888787	0.05	True	False
heat_diffusion	encode	p99Ms	baseline	32	0.5383962355679868	1.107105894513222	1.6970543718710132	0.05	True	False
heat_diffusion	encode	p99Ms	candidate	32	0.6106199025204093	0.9978579675991872	1.6366890563556658	0.05	True	False
heat_diffusion	peakProcessRssBytes	process	baseline	32	0.9728640099240192	1.0016769537579653	1.0323530198827906	0.1	True	True
heat_diffusion	peakProcessRssBytes	process	candidate	32	0.9705449189985272	0.9981784200332601	1.0145104709259063	0.1	True	True
heat_diffusion	preparationMs	process	baseline	32	0.6226006160692006	0.9174029178254373	1.3651277424069792	0.05	True	False
heat_diffusion	preparationMs	process	candidate	32	0.6973760489265932	0.9846310302854937	1.3956896640200023	0.05	True	False
heat_diffusion	readback	p50Ms	baseline	32	0.8261177581867093	1.0090177927971333	1.229724820634761	0.05	True	False
heat_diffusion	readback	p50Ms	candidate	32	0.8614370129306487	1.0156515110371664	1.1228854133426474	0.05	True	False
heat_diffusion	readback	p95Ms	baseline	32	0.6110248703635993	0.9347374648404425	1.9845291656831576	0.05	True	False
heat_diffusion	readback	p95Ms	candidate	32	0.6457222666967727	1.1130049022589414	1.8638724035613676	0.05	True	False
heat_diffusion	readback	p99Ms	baseline	32	0.6794769532297508	1.1109483927350445	1.429533890843058	0.05	True	False
heat_diffusion	readback	p99Ms	candidate	32	0.7087779284324603	0.9589450953438404	1.2962620369925002	0.05	True	False
heat_diffusion	submitWait	p50Ms	baseline	32	0.8998538190789512	1.0116007206691564	1.1140955615736792	0.05	True	False
heat_diffusion	submitWait	p50Ms	candidate	32	0.8954299055605036	1.0078396948387294	1.0801655880882877	0.05	True	False
heat_diffusion	submitWait	p95Ms	baseline	32	0.8466717151963663	1.1157350740549874	1.4626181958949787	0.05	True	False
heat_diffusion	submitWait	p95Ms	candidate	32	0.7930280761259079	1.0527306214352712	1.3825735271331592	0.05	True	False
heat_diffusion	submitWait	p99Ms	baseline	32	0.6954126984727022	1.0985891768592744	1.5695299055950198	0.05	True	False
heat_diffusion	submitWait	p99Ms	candidate	32	0.8927321294252089	1.1555793816960993	1.534068468028463	0.05	True	False
heat_diffusion	teardownMs	process	baseline	32	0.7893806840231584	0.9727984189526616	1.2499380271020797	0.05	True	False
heat_diffusion	teardownMs	process	candidate	32	0.8552203887454939	1.0374783936703031	1.291352343773254	0.05	True	False
heat_diffusion	total	p50Ms	baseline	32	0.8337549118157818	1.0050852190781132	1.2425254389524851	0.05	True	False
heat_diffusion	total	p50Ms	candidate	32	0.8203934815355748	1.0073945275809935	1.077047812090273	0.05	True	False
heat_diffusion	total	p95Ms	baseline	32	0.7199814175580489	1.021117702600671	1.473195981765491	0.05	True	False
heat_diffusion	total	p95Ms	candidate	32	0.8606006479972188	1.0428503566612783	1.6038104011389525	0.05	True	False
heat_diffusion	total	p99Ms	baseline	32	0.8158116622635037	1.020361606791993	1.3256976489341599	0.05	True	False
heat_diffusion	total	p99Ms	candidate	32	0.8496800164212809	1.005669357538825	1.302456475023235	0.05	True	False
heat_diffusion	upload	p50Ms	baseline	32	0.8006709039531078	1.0025494821520493	1.2192907192940539	0.05	True	False
heat_diffusion	upload	p50Ms	candidate	32	0.7838227658239166	1.0033340015785972	1.0571032784364263	0.05	True	False
heat_diffusion	upload	p95Ms	baseline	32	0.5268858429993206	0.9957283410338259	1.787622525466724	0.05	True	False
heat_diffusion	upload	p95Ms	candidate	32	0.645247510252559	1.0331782604467823	1.8113336757429934	0.05	True	False
heat_diffusion	upload	p99Ms	baseline	32	0.6156331357239414	1.136766009196928	2.0904651162780277	0.05	True	False
heat_diffusion	upload	p99Ms	candidate	32	0.750649927786371	1.0195964714803951	1.7637739929685463	0.05	True	False
heat_diffusion	wallMs	p50Ms	baseline	32	0.8033756463988762	1.0034836403143446	1.2866390774750875	0.05	True	False
heat_diffusion	wallMs	p50Ms	candidate	32	0.7897676323063045	1.0100774719596157	1.0594019450663135	0.05	True	False
heat_diffusion	wallMs	p95Ms	baseline	32	0.7629739626306397	1.0599460131458693	1.408675360914843	0.05	True	False
heat_diffusion	wallMs	p95Ms	candidate	32	0.8180518556249127	1.038363917956858	1.459991899657018	0.05	True	False
heat_diffusion	wallMs	p99Ms	baseline	32	0.772365832462675	1.0471510044753298	1.3328508746711345	0.05	True	False
heat_diffusion	wallMs	p99Ms	candidate	32	0.8245944011312004	1.0348033165405852	1.2985338537741045	0.05	True	False
holoscript_lif	allocatedBufferBytes	process	baseline	32	1.0	1.0	1.0	0.1	True	True
holoscript_lif	allocatedBufferBytes	process	candidate	32	1.0	1.0	1.0	0.1	True	True
holoscript_lif	coldCpuMs	process	baseline	32	0.367562746846732	1.0036232682519568	3.515094979647219	0.1	True	False
holoscript_lif	coldCpuMs	process	candidate	32	0.32119011362305255	1.0150892041837238	3.1290530730763026	0.1	True	False
holoscript_lif	coldWallMs	process	baseline	32	0.6929526674068548	0.9997945991571917	1.6352807536735114	0.05	True	False
holoscript_lif	coldWallMs	process	candidate	32	0.6326706525900928	1.0119299681818443	1.5742100796003542	0.05	True	False
holoscript_lif	cpuMs	p50Ms	baseline	32	0.9861325115562404	0.9961322452898116	1.0168711656441718	0.1	True	True
holoscript_lif	cpuMs	p50Ms	candidate	32	0.9726858877086495	1.00000359998848	1.021909233176839	0.1	True	True
holoscript_lif	cpuMs	p95Ms	baseline	32	0.7897934386391252	0.9931572169939198	1.2367379255740303	0.1	True	False
holoscript_lif	cpuMs	p95Ms	candidate	32	0.8183254344391785	0.985998216333291	1.343980343980344	0.1	True	False
holoscript_lif	cpuMs	p99Ms	baseline	32	0.6890638670166229	1.2409947607085061	1.8421426037601984	0.1	True	False
holoscript_lif	cpuMs	p99Ms	candidate	32	0.5521407376006783	0.965268716334806	1.5556119857795836	0.1	True	False
holoscript_lif	deviceStartupMs	process	baseline	32	0.9625165191955384	1.015803070297497	1.1407240073739835	0.05	True	False
holoscript_lif	deviceStartupMs	process	candidate	32	0.9603965580243934	1.0068511679623036	1.068912423832113	0.05	True	False
holoscript_lif	encode	p50Ms	baseline	32	0.9454959960155436	0.9909832229270072	1.0202132477053556	0.05	True	False
holoscript_lif	encode	p50Ms	candidate	32	0.9307019382878728	0.9997174167785965	1.074243717597351	0.05	True	False
holoscript_lif	encode	p95Ms	baseline	32	0.6830561464578071	0.9916992035840378	1.3761131552296662	0.05	True	False
holoscript_lif	encode	p95Ms	candidate	32	0.648295536965956	0.8953663136885017	1.2742866718454884	0.05	True	False
holoscript_lif	encode	p99Ms	baseline	32	0.6888197665977459	1.0042481745413168	1.6314265946704687	0.05	True	False
holoscript_lif	encode	p99Ms	candidate	32	0.6480100600067232	1.0264577459470139	1.4831392711331075	0.05	True	False
holoscript_lif	peakProcessRssBytes	process	baseline	32	0.9715473064273513	1.0010466415515487	1.032247158869269	0.1	True	True
holoscript_lif	peakProcessRssBytes	process	candidate	32	0.9682018381323353	1.0026074654573316	1.0295549826836445	0.1	True	True
holoscript_lif	preparationMs	process	baseline	32	0.7092411565108898	0.9037374280880773	1.1811841484831775	0.05	True	False
holoscript_lif	preparationMs	process	candidate	32	0.7347209187461412	1.0099620257244926	1.3851051040374738	0.05	True	False
holoscript_lif	readback	p50Ms	baseline	32	0.9310821095367403	0.9905721077366518	1.0526558323858568	0.05	True	False
holoscript_lif	readback	p50Ms	candidate	32	0.9194872533489432	1.00578885656528	1.064547948585424	0.05	True	False
holoscript_lif	readback	p95Ms	baseline	32	0.6775901014796268	1.0231188463660064	1.7773036308407288	0.05	True	False
holoscript_lif	readback	p95Ms	candidate	32	0.5071917736928928	0.9165007610383541	1.836431130263029	0.05	True	False
holoscript_lif	readback	p99Ms	baseline	32	0.8306695915595905	1.1583874121297755	1.5840584680009941	0.05	True	False
holoscript_lif	readback	p99Ms	candidate	32	0.5210598004034485	0.9852593482442857	1.5337971268894202	0.05	True	False
holoscript_lif	submitWait	p50Ms	baseline	32	0.9428087815242098	0.9665575810476956	1.047617878674866	0.05	True	False
holoscript_lif	submitWait	p50Ms	candidate	32	0.9310060056615452	1.005353415442814	1.0663122442187034	0.05	True	False
holoscript_lif	submitWait	p95Ms	baseline	32	0.9307220717872764	0.9920362899384532	1.1994447610280088	0.05	True	False
holoscript_lif	submitWait	p95Ms	candidate	32	0.9131308743552279	0.995683741664591	1.1218558778715657	0.05	True	False
holoscript_lif	submitWait	p99Ms	baseline	32	0.8035796306810373	0.9893740691716005	1.515124637091287	0.05	True	False
holoscript_lif	submitWait	p99Ms	candidate	32	0.7421880580262505	0.9477570646469362	1.3344350158395843	0.05	True	False
holoscript_lif	teardownMs	process	baseline	32	0.8063326340940161	1.0505250361992111	1.2756479328818215	0.05	True	False
holoscript_lif	teardownMs	process	candidate	32	0.7844216775950625	0.9915030696047695	1.2463291680792918	0.05	True	False
holoscript_lif	total	p50Ms	baseline	32	0.9630887094357468	0.989409786102949	1.0223696745958537	0.05	True	True
holoscript_lif	total	p50Ms	candidate	32	0.9564994660740731	0.9987656431748853	1.0353094344306224	0.05	True	True
holoscript_lif	total	p95Ms	baseline	32	0.8577569560950675	0.9669499512902668	1.1692266068099164	0.05	True	False
holoscript_lif	total	p95Ms	candidate	32	0.8380302988372922	0.9865594849398458	1.2109464518063378	0.05	True	False
holoscript_lif	total	p99Ms	baseline	32	0.7910039490936572	0.9673806861956632	1.347199394473433	0.05	True	False
holoscript_lif	total	p99Ms	candidate	32	0.7331337985411146	0.9350218571904405	1.3357841828599082	0.05	True	False
holoscript_lif	upload	p50Ms	baseline	32	0.9794379982615772	0.9907974526172125	1.024852923523502	0.05	True	True
holoscript_lif	upload	p50Ms	candidate	32	0.977370815350171	0.9994011186534508	1.026285441604817	0.05	True	True
holoscript_lif	upload	p95Ms	baseline	32	0.5274432776163805	0.9056728216098844	1.4555909925590862	0.05	True	False
holoscript_lif	upload	p95Ms	candidate	32	0.5245826821746483	1.092522126071249	1.9336723272269791	0.05	True	False
holoscript_lif	upload	p99Ms	baseline	32	0.8411546994781158	1.0453811767067918	1.3854085893230457	0.05	True	False
holoscript_lif	upload	p99Ms	candidate	32	0.7745477414821346	0.9641754371799887	1.343592721068111	0.05	True	False
holoscript_lif	wallMs	p50Ms	baseline	32	0.9631919682527849	0.993335991309819	1.0229122042064507	0.05	True	True
holoscript_lif	wallMs	p50Ms	candidate	32	0.959839807827357	0.9989986855380502	1.030060898300941	0.05	True	True
holoscript_lif	wallMs	p95Ms	baseline	32	0.8298780558299397	0.972247554444796	1.2612436207631534	0.05	True	False
holoscript_lif	wallMs	p95Ms	candidate	32	0.799404535338407	0.9441844475857761	1.1509836501638073	0.05	True	False
holoscript_lif	wallMs	p99Ms	baseline	32	0.7957005876894577	0.9301348142830734	1.366240606812737	0.05	True	False
holoscript_lif	wallMs	p99Ms	candidate	32	0.7677563161416513	0.9297550809103602	1.3109096986867361	0.05	True	False
image_edges	allocatedBufferBytes	process	baseline	32	1.0	1.0	1.0	0.1	True	True
image_edges	allocatedBufferBytes	process	candidate	32	1.0	1.0	1.0	0.1	True	True
image_edges	coldCpuMs	process	baseline	32	0.6939047619047619	1.0085006281414137	1.2581147753830173	0.1	True	False
image_edges	coldCpuMs	process	candidate	32	0.8274961931694582	1.0601597077523506	1.3272078990674714	0.1	True	False
image_edges	coldWallMs	process	baseline	32	0.7190328741885746	0.9948348000904943	1.2454782699238127	0.05	True	False
image_edges	coldWallMs	process	candidate	32	0.8321561335020279	1.0424349841573115	1.2970337057809767	0.05	True	False
image_edges	cpuMs	p50Ms	baseline	32	0.9558823529411765	1.0000098874152978	1.0902061855670102	0.1	True	True
image_edges	cpuMs	p50Ms	candidate	32	0.9746835443037974	1.0012820512820513	1.0465116279069768	0.1	True	True
image_edges	cpuMs	p95Ms	baseline	32	0.7771565495207667	0.9990256259282368	1.3648068669527897	0.1	True	False
image_edges	cpuMs	p95Ms	candidate	32	0.7168627450980393	0.9470714355325991	1.2319790301441678	0.1	True	False
image_edges	cpuMs	p99Ms	baseline	32	0.6987281399046105	0.9735065676904873	1.3988644428672818	0.1	True	False
image_edges	cpuMs	p99Ms	candidate	32	0.7600888559792669	1.0598135152418875	1.4547991071428572	0.1	True	False
image_edges	deviceStartupMs	process	baseline	32	0.9249922907728835	0.9983249407589803	1.0753655201946712	0.05	True	False
image_edges	deviceStartupMs	process	candidate	32	0.9122089758101339	1.0136500133436148	1.0912618161820997	0.05	True	False
image_edges	encode	p50Ms	baseline	32	0.9369727770723638	1.0033973006607333	1.157395195479851	0.05	True	False
image_edges	encode	p50Ms	candidate	32	0.9331971078279009	1.0100324295385539	1.070404682891288	0.05	True	False
image_edges	encode	p95Ms	baseline	32	0.8437144504530633	1.0240446456068044	1.4328185500023445	0.05	True	False
image_edges	encode	p95Ms	candidate	32	0.7040027795417935	0.9767666581930683	1.34982315638554	0.05	True	False
image_edges	encode	p99Ms	baseline	32	0.7291956731287131	1.0203429666498902	1.5530919744690497	0.05	True	False
image_edges	encode	p99Ms	candidate	32	0.6406618688061636	0.9761009985304155	1.3144726840072325	0.05	True	False
image_edges	peakProcessRssBytes	process	baseline	32	0.9934897599348976	0.9983754852335991	1.0083802682774194	0.1	True	True
image_edges	peakProcessRssBytes	process	candidate	32	0.9890828514294979	0.9988779891283219	1.0071135728055172	0.1	True	True
image_edges	preparationMs	process	baseline	32	0.7281257119317434	1.002085722941034	1.3421114817252824	0.05	True	False
image_edges	preparationMs	process	candidate	32	0.7263591545240918	1.0077874365668875	1.3637277464867472	0.05	True	False
image_edges	readback	p50Ms	baseline	32	0.9171066772600606	1.0143594470492059	1.192829643888404	0.05	True	False
image_edges	readback	p50Ms	candidate	32	0.8903394255858289	0.994746091952093	1.071265168090493	0.05	True	False
image_edges	readback	p95Ms	baseline	32	0.5915119363401204	1.0275896856228923	1.9390270404507	0.05	True	False
image_edges	readback	p95Ms	candidate	32	0.5040694406864543	0.9861707334828838	1.7624330395719907	0.05	True	False
image_edges	readback	p99Ms	baseline	32	0.7715919020267838	0.999243148149815	1.30945400149603	0.05	True	False
image_edges	readback	p99Ms	candidate	32	0.8788785460992217	1.0316003536997012	1.2550188985645756	0.05	True	False
image_edges	submitWait	p50Ms	baseline	32	0.96374934651429	1.014542652865728	1.1117508505628357	0.05	True	False
image_edges	submitWait	p50Ms	candidate	32	0.9710122718189665	1.0026623705181947	1.0448738512634266	0.05	True	True
image_edges	submitWait	p95Ms	baseline	32	0.8358960691668852	1.015337508622932	1.2296073635667892	0.05	True	False
image_edges	submitWait	p95Ms	candidate	32	0.7916997850980505	0.968374862701707	1.2950481603502815	0.05	True	False
image_edges	submitWait	p99Ms	baseline	32	0.7951599563304673	1.0412514827383634	1.1992794675593565	0.05	True	False
image_edges	submitWait	p99Ms	candidate	32	0.7724385414947148	1.0347607795507376	1.294822892627713	0.05	True	False
image_edges	teardownMs	process	baseline	32	0.806556798156034	0.9974259826056981	1.0799485702675868	0.05	True	False
image_edges	teardownMs	process	candidate	32	0.9226690690549679	1.009587839713673	1.1321119674219002	0.05	True	False
image_edges	total	p50Ms	baseline	32	0.94732613727649	1.0000694653396218	1.1015788942127585	0.05	True	False
image_edges	total	p50Ms	candidate	32	0.9735552039999179	0.9982901519423756	1.0342468270864582	0.05	True	True
image_edges	total	p95Ms	baseline	32	0.8309198139327933	0.9888710452629805	1.3589012261876847	0.05	True	False
image_edges	total	p95Ms	candidate	32	0.68626797462625	0.9557580179153082	1.4750351665773827	0.05	True	False
image_edges	total	p99Ms	baseline	32	0.8398950285948019	1.076104705601574	1.249915308795568	0.05	True	False
image_edges	total	p99Ms	candidate	32	0.8431030059551123	1.0042630986539174	1.2117964622258692	0.05	True	False
image_edges	upload	p50Ms	baseline	32	0.9743346007628624	1.001687971396318	1.0723868494739122	0.05	True	False
image_edges	upload	p50Ms	candidate	32	0.9743881616351435	1.0018232281642094	1.020458863069929	0.05	True	True
image_edges	upload	p95Ms	baseline	32	0.8390958934757881	1.0121875865452385	1.311073122313517	0.05	True	False
image_edges	upload	p95Ms	candidate	32	0.812752176682122	0.9869043843615662	1.1336673889502884	0.05	True	False
image_edges	upload	p99Ms	baseline	32	0.6806350204342954	1.0403627093380816	2.140989063243841	0.05	True	False
image_edges	upload	p99Ms	candidate	32	0.5583733357479433	0.9685620666282677	2.0300376205008073	0.05	True	False
