family,invocationsPerQuery,doeCumulativeGpuMs,doeProfiledQueryFraction,dawnCumulativeGpuMs,dawnProfiledQueryFraction,ownerGeneratedCodeDelta,dawnGeneratedCodeDelta
matmul_f16w_f32a_pipeline,252,260.53364050000005,0.34882033294670245,237.27308800000003,0.38338437372681355,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
attention_prefill_small_f16kv_pipeline,84,163.33546249999998,0.21869846574176394,170.2625280000001,0.27505312999644804,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
matmul_q4_fused_widetile_pipeline,336,61.00760149999999,0.08163807019741842,36.17587200000017,0.05847868716636903,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
rmsnorm_subgroup_pipeline_OUTPUT_PRENORM=1|PRE_RESIDUAL=1|RMS_NORM_OFFSET=0|WEIGHT_IS_F16=1,84,20.541132500000007,0.027474087430072493,1.2451840000000003,0.0020204147626618095,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
rmsnorm_subgroup_pipeline_OUTPUT_PRENORM=0|PRE_RESIDUAL=0|RMS_NORM_OFFSET=0|WEIGHT_IS_F16=1,87,18.208098,0.024370154945639648,0.9830400000000001,0.001571543146503284,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
residual_vec4_pipeline,84,11.905232,0.01593637044428777,1.1141120000000002,0.0018086271146683416,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
silu_default_pipeline_HAS_GATE=1|INPUT_USE_IDENTITY=1,84,10.0400995,0.013439567044994737,1.4417920000000004,0.0023296641279281485,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
rmsnorm_qk_default_pipeline_K_WEIGHT_IS_F16=1|Q_WEIGHT_IS_F16=1|RMS_NORM_OFFSET=0,84,5.742211499999999,0.007684638366643138,1.8677760000000005,0.0030053258238211256,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
rope_qk_default_pipeline,84,0.5416695000000002,0.0007252192366851431,0.6881280000000001,0.0011498296322230914,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
kv_cache_write_f32_to_f16_pipeline,84,0.43909300000000007,0.0005879258188594903,0.4259839999999999,0.0006840938026168393,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
gather_f16_vec4_pipeline,3,0.018335499999999998,2.454134950162602e-05,0.098304,0.00016305678935703258,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
lm_head_select_logits_f16w_f32a_pipeline_WORKGROUP_SIZE=256,3,0.0156505,2.0956123749237705e-05,0.0,0.0,No compiler or WGSL change in ownership candidate; no native ISA identity proof.,Unavailable for this cohort; older driver dumps not attributed to current family binaries.
