build	case	exit	error
before	default	1	UnsupportedPlatform
before	zero	1	InvalidArgument
before	missing	1	MissingArgument
before	too_many	1	InvalidArgument
before	unknown	1	UnknownArgument
before	negative	1	InvalidCharacter
before	corruption	1	UnsupportedPlatform
debug	default	1	UnsupportedPlatform
debug	zero	1	InvalidArgument
debug	missing	1	MissingArgument
debug	too_many	1	InvalidArgument
debug	unknown	1	UnknownArgument
debug	negative	1	InvalidCharacter
debug	corruption	1	UnsupportedPlatform
release	default	1	UnsupportedPlatform
release	zero	1	InvalidArgument
release	missing	1	MissingArgument
release	too_many	1	InvalidArgument
release	unknown	1	UnknownArgument
release	negative	1	InvalidCharacter
release	corruption	1	UnsupportedPlatform
