path	category	physical	blank	comment_only	code	sha256
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/build.zig	retained_snapshots	1671	103	11	1557	cc445b992c3365d49a4b24d58b35f947aae8b9228f89f3143d14cccd551458e1
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/app/mod.zig	retained_snapshots	19	4	1	14	6671d7e9be0c0cdf0bdfb3e2ef5a0c1bd926d9c15d16a9905fa2f18a91800411
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/app/prepare.zig	retained_snapshots	39	5	1	33	77cb571915224a446e06842474deb4dc386d37609ba1ef7c1fe76824ddf24957
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/app/request.zig	retained_snapshots	32	5	3	24	e9d09558ffaaff4399cb71c3c398dde474ebb23d310a8bb3ee2d8c6b9f6f980c
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/app/runner.zig	retained_snapshots	28	4	1	23	4bfc6e2bfac42048cc025aae28087ec4e5224aa5aa9570c736c4466f69fec6da
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/backend_policy.zig	retained_snapshots	431	33	0	398	4f77eb6695a57ee565f19ca70b48a378d8c8a679083a2d47f20daf1581c3b8b0
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/backend_telemetry.zig	retained_snapshots	22	3	0	19	18b9ba02c0bebc509c3eb211b857047cb6e1e7c938c31c34ef392d7896b4648f
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/common/artifact_policy.zig	retained_snapshots	25	2	0	23	0758dc91c1316917a899a74023c2edf9289fd12205880c158a2f541c7bd6cff6
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/common/artifact_state.zig	retained_snapshots	152	12	1	139	8b714d344d90023292cc464d71757aab01b9eae35eae1600d3431bb1f1b8f0b5
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/common/path_utils.zig	retained_snapshots	6	1	0	5	62c3b7a6fe8c59199cd652593a0c724814e09c322bee51110eafe2a334482d51
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/common/shader_artifact_manifest.zig	retained_snapshots	543	50	5	488	8feb08e6f926e97aa13548e44b21d04922932ac310e71f6e44a2cc07460225d6
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/common/submit_count_policy.zig	retained_snapshots	99	13	0	86	afe4bf4642090279c74d5ba2e619575e06462a57034ac44f86858fa2385627e6
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/common/timing.zig	retained_snapshots	16	3	0	13	658225c313afc6a72fdee0d58c93c8fda35d1306d28be1e8f2313df2c314336e
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/d3d12/artifact_emit.zig	retained_snapshots	43	5	0	38	40974e1d81b6aeb2f96d2102b456b910e1f5677ad61fc263c38744df5f569e2d
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/d3d12/commands/d3d12_async_diagnostics.zig	retained_snapshots	133	18	0	115	8266004a3b5d93e84311aa5ce5e2652f1b7b9e1082cce01792cd1dd5acdaeca7
bench/out/compute-program/20260907-addon-o2-applications-retry/sources/runtime/zig/src/backend/d3d12/commands/d3d12_dispatch.zig	retained_snapshots	202	26	2	174	18ec75281197a4f28e7e11aa9be07f9c2f182ab08ca65c9f03dd5624b242ccd2
