batch_index	scope	verdict	review_id
1	file:src/backend/d3d12/commands/d3d12_map_async.zig	verified	batch32_20260919_01
2	file:src/backend/d3d12/commands/d3d12_native_render_pass.zig	needs_changes	batch32_20260919_02
3	file:src/backend/d3d12/commands/d3d12_render.zig	needs_changes	batch32_20260919_03_revalidated
4	file:src/backend/d3d12/commands/d3d12_render_bind_groups.zig	needs_changes	batch32_20260919_04
5	file:src/backend/d3d12/commands/d3d12_render_vertex.zig	needs_changes	batch32_20260919_05
6	file:src/backend/d3d12/commands/d3d12_streaming_copy.zig	needs_changes	batch32_20260919_06_revalidated
7	file:src/backend/d3d12/d3d12_bridge_decls.zig	verified	batch32_20260919_07
8	file:src/backend/d3d12/d3d12_constants.zig	verified	batch32_20260919_08
9	file:src/backend/d3d12/d3d12_descriptors.zig	needs_changes	batch32_20260919_09
10	file:src/backend/d3d12/d3d12_device_caps.zig	needs_changes	batch32_20260919_10_revalidated
11	file:src/backend/d3d12/d3d12_formats.zig	verified	batch32_20260919_11
12	file:src/backend/d3d12/d3d12_native_runtime.zig	needs_changes	batch32_20260919_12_revalidated
13	file:src/backend/d3d12/d3d12_query_set.zig	needs_changes	batch32_20260919_13_revalidated
14	file:src/backend/d3d12/d3d12_runtime_compute.zig	needs_changes	batch32_20260919_14_revalidated
15	file:src/backend/d3d12/d3d12_runtime_upload.zig	needs_changes	batch32_20260919_15_revalidated
16	file:src/backend/d3d12/mod.zig	needs_changes	batch32_20260919_16_revalidated
17	file:src/backend/d3d12/resources/d3d12_depth_stencil.zig	verified	batch32_20260919_17
18	file:src/backend/d3d12/resources/d3d12_sampler.zig	needs_changes	batch32_20260919_18_revalidated
19	file:src/backend/d3d12/resources/d3d12_texture.zig	needs_changes	batch32_20260919_19_revalidated
20	file:src/backend/d3d12/resources/d3d12_texture_view.zig	needs_changes	batch32_20260919_20
21	file:src/backend/d3d12/surface/d3d12_surface.zig	needs_changes	batch32_20260919_21_revalidated
22	file:src/backend/dawn_delegate_backend.zig	verified	batch32_20260919_22
23	file:src/backend/dropin_capabilities.zig	verified	batch32_20260919_23
24	file:src/backend/dropin_external_texture.zig	verified	batch32_20260919_24
25	file:src/backend/dropin_lifecycle.zig	verified	batch32_20260919_25_revalidated
26	file:src/backend/dropin_pipeline_cache.zig	verified	batch32_20260919_26
27	file:src/backend/dropin_queue_submit.zig	verified	batch32_20260919_27
28	file:src/backend/dropin_render_state.zig	verified	batch32_20260919_28
29	file:src/backend/dropin_resource_ops.zig	needs_changes	batch32_20260919_29
30	file:src/backend/dropin_surface_ops.zig	verified	batch32_20260919_30
31	file:src/backend/metal/artifact_emit.zig	verified	batch32_20260919_31
32	file:src/backend/metal/backend_execute.zig	needs_changes	batch32_20260919_32
