batch_index	scope	verdict	review_id
1	file:src/backend/metal/metal_async_runtime.zig	verified	metal_ports_20260920_01
2	file:src/backend/metal/metal_bridge_decls.zig	verified	metal_ports_20260920_02
3	file:src/backend/metal/metal_buffer_pool.zig	needs_changes	metal_ports_20260920_03
4	file:src/backend/metal/metal_cleanup.zig	verified	metal_ports_20260920_04
5	file:src/backend/metal/metal_copy_runtime.zig	needs_changes	metal_ports_20260920_05
6	file:src/backend/metal/metal_deferred_release.zig	needs_changes	metal_ports_20260920_06
7	file:src/backend/metal/metal_dispatch_runtime.zig	needs_changes	metal_ports_20260920_07
8	file:src/backend/metal/metal_external_texture.zig	needs_changes	metal_ports_20260920_08
9	file:src/backend/metal/metal_gpu_timestamps.zig	needs_changes	metal_ports_20260920_09
10	file:src/backend/metal/metal_kernel_dispatch.zig	needs_changes	metal_ports_20260920_10
11	file:src/backend/metal/metal_native_runtime.zig	needs_changes	metal_ports_20260920_11
12	file:src/backend/metal/metal_pipeline_cache.zig	needs_changes	metal_ports_20260920_12
13	file:src/backend/metal/metal_render_state_bridge_decls.zig	verified	metal_ports_20260920_13
14	file:src/backend/metal/metal_resource_commands.zig	needs_changes	metal_ports_20260920_14
15	file:src/backend/metal/metal_runtime_limits.zig	needs_changes	metal_ports_20260920_15
16	file:src/backend/metal/metal_runtime_queue_ops.zig	needs_changes	metal_ports_20260920_16
17	file:src/backend/metal/metal_runtime_render_ops.zig	needs_changes	metal_ports_20260920_17
18	file:src/backend/metal/metal_runtime_resources.zig	needs_changes	metal_ports_20260920_18
19	file:src/backend/metal/metal_surface_runtime.zig	needs_changes	metal_ports_20260920_19
20	file:src/backend/metal/metal_upload.zig	needs_changes	metal_ports_20260920_20
21	file:src/backend/metal/mod.zig	needs_changes	metal_ports_20260920_21
22	file:src/backend/metal/render_state.zig	needs_changes	metal_ports_20260920_22
23	file:src/backend/metal_package_pipeline_cache.zig	verified	metal_ports_20260920_23
24	file:src/backend/ports/capture.zig	verified	metal_ports_20260920_24
25	file:src/backend/ports/compute.zig	verified	metal_ports_20260920_25
26	file:src/backend/ports/factory.zig	verified	metal_ports_20260920_26
27	file:src/backend/ports/lifecycle.zig	verified	metal_ports_20260920_27
28	file:src/backend/ports/mod.zig	verified	metal_ports_20260920_28
29	file:src/backend/ports/provider_adapter.zig	verified	metal_ports_20260920_29
30	file:src/backend/ports/queue.zig	verified	metal_ports_20260920_30
31	file:src/backend/ports/readback.zig	verified	metal_ports_20260920_31
32	file:src/backend/ports/render.zig	verified	metal_ports_20260920_32
