level	targets	status	latestReview	prerequisites	nextAction
file	bench/compiler/bench.zig	verified	compiler_stage_file_004		Continue with bench/entrypoints/metal_compute_bench.zig in TSV order; directory and relationship reviews remain separate.
file	bench/compiler/bench_compilation.zig	verified	compilation_file_002		Continue with bench/entrypoints/metal_compute_bench.zig in TSV order; directory and relationship reviews remain separate.
file	bench/entrypoints/bench_compilation.zig	retired	compilation_entrypoint_file_001		Retired source path; continue the compiler implementation review. This removal does not complete its directory review.
file	bench/entrypoints/host_hotpath_bench.zig	retired	host_entry_file_001		Complete the replacement entrypoint review at bench/host_hotpath/host_hotpath_bench.zig, including dependent allocation and input fixes; keep case/support file coverage separate.
file	bench/entrypoints/metal_compute_bench.zig	pending			Read and review the complete scope.
file	bench/entrypoints/metal_staged_write_bench.zig	pending			Read and review the complete scope.
file	bench/entrypoints/runtime_compile_report.zig	pending			Read and review the complete scope.
file	bench/host_hotpath/host_hotpath_bench.zig	verified	host_main_file_002		Continue with bench/entrypoints/metal_compute_bench.zig in TSV order. Host directory and relationship reviews require their separate passes.
file	bench/host_hotpath/host_hotpath_bench_cases.zig	verified	host_cases_file_001		Continue with bench/entrypoints/metal_compute_bench.zig in TSV order. Host directory and relationship reviews require their separate passes.
file	bench/host_hotpath/host_hotpath_bench_lexer.zig	verified	host_lexer_file_001		Continue with bench/entrypoints/metal_compute_bench.zig in TSV order. Host directory and relationship reviews require their separate passes.
file	bench/host_hotpath/host_hotpath_bench_support.zig	verified	host_support_file_001		Continue with bench/entrypoints/metal_compute_bench.zig in TSV order. Host directory and relationship reviews require their separate passes.
file	build.zig	verified	build_file_005		Continue with bench/entrypoints/metal_compute_bench.zig in TSV order; directory and relationship reviews remain separate.
file	src/app/mod.zig	pending			Read and review the complete scope.
file	src/app/prepare.zig	pending			Read and review the complete scope.
file	src/app/request.zig	pending			Read and review the complete scope.
file	src/app/runner.zig	pending			Read and review the complete scope.
file	src/backend/backend_policy.zig	pending			Read and review the complete scope.
file	src/backend/backend_telemetry.zig	pending			Read and review the complete scope.
file	src/backend/common/artifact_policy.zig	pending			Read and review the complete scope.
file	src/backend/common/artifact_state.zig	pending			Read and review the complete scope.
file	src/backend/common/path_utils.zig	pending			Read and review the complete scope.
file	src/backend/common/shader_artifact_manifest.zig	pending			Read and review the complete scope.
file	src/backend/common/submit_count_policy.zig	pending			Read and review the complete scope.
file	src/backend/common/timing.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/artifact_emit.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_async_diagnostics.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_dispatch.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_gpu_timestamps.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_map_async.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_native_render_pass.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_render.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_render_bind_groups.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_render_vertex.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/commands/d3d12_streaming_copy.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_bridge_decls.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_constants.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_descriptors.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_device_caps.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_formats.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_native_runtime.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_query_set.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_runtime_compute.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/d3d12_runtime_upload.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/mod.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/resources/d3d12_depth_stencil.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/resources/d3d12_sampler.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/resources/d3d12_texture.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/resources/d3d12_texture_view.zig	pending			Read and review the complete scope.
file	src/backend/d3d12/surface/d3d12_surface.zig	pending			Read and review the complete scope.
